Season,FlightDistance,FlightDuration,DepartureAirportCongestion,ArrivalAirportCongestion,DayOfWeek,TimeOfFlight,ScheduledDepartureTime,ActualDepartureTime,DepartureDelay,Temperature,Visibility,WindSpeed,WeatherEvent,Delayed
Summer,7602,327,29,11,Saturday,Morning,01/10/2024 00:00,01/10/2024 00:00,60,25.28076524,8777,37.87741966,Adverse,0
Autumn,7812,296,38,5,Wednesday,Night,01/10/2024 01:00,01/10/2024 01:00,41,16.0775492,5232,40.48852019,Adverse,0
Winter,5820,589,3,27,Wednesday,Afternoon,01/10/2024 02:00,01/10/2024 02:00,80,-3.76762855,7519,44.33077445,Adverse,0
Summer,6632,80,16,12,Sunday,Afternoon,01/10/2024 03:00,01/10/2024 03:00,78,38.07072702,2777,13.15180888,Clear,0
Summer,8391,579,30,17,Wednesday,Evening,01/10/2024 04:00,01/10/2024 04:00,17,21.79553829,2222,11.22797346,Adverse,0
Autumn,3279,159,40,6,Sunday,Afternoon,01/10/2024 05:00,01/10/2024 05:00,22,28.29342128,8630,23.27528333,Adverse,1
Winter,1424,537,2,33,Monday,Night,01/10/2024 06:00,01/10/2024 06:00,53,-6.0393425,2777,13.25445844,Adverse,0
Winter,2081,357,17,5,Monday,Morning,01/10/2024 07:00,01/10/2024 07:00,114,-7.647081027,8490,36.71549945,Adverse,0
Summer,8214,585,41,28,Tuesday,Evening,01/10/2024 08:00,01/10/2024 08:00,29,-9.027597482,5859,31.79697884,Clear,0
Spring,3824,393,12,14,Friday,Nig ht,01/10/2024 09:00,01/10/2024 09:00,97,-0.560298611,9893,43.7493844,Clear,1
Summer,6213,61,35,5,Friday,Afternoon,01/10/2024 10:00,01/10/2024 10:00,57,10.72041989,9118,4.136915174,Adverse,1
Summer,7526,434,43,33,Friday,Afternoon,01/10/2024 11:00,01/10/2024 11:00,67,36.79130667,3989,45.75416667,Adverse,1
Summer,755,352,1,48,Sunday,Night,01/10/2024 12:00,01/10/2024 12:00,66,12.85298296,9343,14.66743133,Adverse,1
Summer,5304,377,45,41,Saturday,Morning,01/10/2024 13:00,01/10/2024 13:00,70,4.512755269,2325,24.5347173,Clear,1
Autumn,2338,561,15,19,Saturday,Morning,01/10/2024 14:00,01/10/2024 14:00,119,18.09676268,6127,21.9305718,Adverse,1
Winter,509,440,26,22,Tuesday,Evening,01/10/2024 15:00,01/10/2024 15:00,17,-4.403271093,9998,38.01558256,Adverse,1
